 0 0,0 25,25 0,0,0,255
 1 0,25 25,50 94,71,76,255
 2 0,50 25,75 255,255,255,255
 3 0,75 25,100 94,71,76,255
 4 0,100 25,125 255,255,255,255
 5 0,125 25,150 142,145,113,255
 6 0,150 25,175 224,190,120,255
 7 0,175 25,200 97,86,83,255
 8 0,200 25,225 0,0,0,255
 9 0,225 25,250 255,255,255,255
 10 0,250 25,275 97,86,83,255
 11 0,275 25,300 94,71,76,255
 12 0,300 25,325 0,0,0,255
 13 0,325 25,350 142,145,113,255
 14 0,350 25,375 142,145,113,255
 15 0,375 25,400 142,145,113,255
 16 25,0 50,25 142,145,113,255
 17 25,25 50,50 94,71,76,255
 18 25,50 50,75 94,71,76,255
 19 25,75 50,100 142,145,113,255
 20 25,100 50,125 142,145,113,255
 21 25,125 50,150 0,0,0,255
 22 25,150 50,175 255,255,255,255
 23 25,175 50,200 94,71,76,255
 24 25,200 50,225 255,255,255,255
 25 25,225 50,250 142,145,113,255
 26 25,250 50,275 94,71,76,255
 27 25,275 50,300 0,0,0,255
 28 25,300 50,325 97,86,83,255
 29 25,325 50,350 0,0,0,255
 30 25,350 50,375 255,255,255,255
 31 25,375 50,400 224,190,120,255
 32 50,0 75,25 97,86,83,255
 33 50,25 75,50 142,145,113,255
 34 50,50 75,75 97,86,83,255
 35 50,75 75,100 97,86,83,255
 36 50,100 75,125 255,255,255,255
 37 50,125 75,150 0,0,0,255
 38 50,150 75,175 97,86,83,255
 39 50,175 75,200 224,190,120,255
 40 50,200 75,225 94,71,76,255
 41 50,225 75,250 97,86,83,255
 42 50,250 75,275 0,0,0,255
 43 50,275 75,300 0,0,0,255
 44 50,300 75,325 0,0,0,255
 45 50,325 75,350 224,190,120,255
 46 50,350 75,375 255,255,255,255
 47 50,375 75,400 97,86,83,255
 48 75,0 100,25 142,145,113,255
 49 75,25 100,50 94,71,76,255
 50 75,50 100,75 224,190,120,255
 51 75,75 100,100 0,0,0,255
 52 75,100 100,125 0,0,0,255
 53 75,125 100,150 224,190,120,255
 54 75,150 100,175 94,71,76,255
