 0 0,0 25,25 33,81,216,255
 1 0,25 25,50 255,255,255,255
 2 0,50 25,75 234,0,32,255
 3 0,75 25,100 255,255,255,255
 4 0,100 25,125 255,255,255,255
 5 0,125 25,150 0,0,0,255
 6 0,150 25,175 234,0,32,255
 7 0,175 25,200 33,81,216,255
 8 0,200 25,225 255,255,255,255
 9 0,225 25,250 234,0,32,255
 10 0,250 25,275 0,0,0,255
 11 0,275 25,300 255,255,255,255
 12 0,300 25,325 0,0,0,255
 13 0,325 25,350 33,81,216,255
 14 0,350 25,375 0,0,0,255
 15 0,375 25,400 255,255,255,255
 16 25,0 50,25 33,81,216,255
 17 25,25 50,50 255,255,255,255
 18 25,50 50,75 0,0,0,255
 19 25,75 50,100 255,255,255,255
 20 25,100 50,125 234,0,32,255
 21 25,125 50,150 234,0,32,255
 22 25,150 50,175 234,0,32,255
 23 25,175 50,200 33,81,216,255
 24 25,200 50,225 0,0,0,255
 25 25,225 50,250 0,0,0,255
 26 25,250 50,275 255,255,255,255
 27 25,275 50,300 255,255,255,255
 28 25,300 50,325 234,0,32,255
 29 25,325 50,350 33,81,216,255
 30 25,350 50,375 0,0,0,255
 31 25,375 50,400 33,81,216,255
 32 50,0 75,25 255,255,255,255
 33 50,25 75,50 255,255,255,255
 34 50,50 75,75 234,0,32,255
 35 50,75 75,100 255,255,255,255
 36 50,100 75,125 33,81,216,255
 37 50,125 75,150 33,81,216,255
 38 50,150 75,175 255,255,255,255
 39 50,175 75,200 0,0,0,255
 40 50,200 75,225 234,0,32,255
 41 50,225 75,250 33,81,216,255
 42 50,250 75,275 255,255,255,255
 43 50,275 75,300 0,0,0,255
 44 50,300 75,325 33,81,216,255
 45 50,325 75,350 255,255,255,255
 46 50,350 75,375 255,255,255,255
 47 50,375 75,400 255,255,255,255
 48 75,0 100,25 234,0,32,255
 49 75,25 100,50 255,255,255,255
 50 75,50 100,75 234,0,32,255
 51 75,75 100,100 255,255,255,255
 52 75,100 100,125 0,0,0,255
 53 75,125 100,150 234,0,32,255
 54 75,150 100,175 234,0,32,255
 55 75,175 100,200 0,0,0,255
 56 75,200 100,225 0,0,0,255
 57 75,225 100,250 255,255,255,255
 58 75,250 100,275 234,0,32,255
 59 75,275 100,300 0,0,0,255
 60 75,300 100,325 255,255,255,255
 61 75,325 100,350 0,0,0,255
 62 75,350 100,375 33,81,216,255
 63 75,375 100,400 0,0,0,255
 64 100,0 125,25 255,255,255,255
 65 100,25 125,50 255,255,255,255
